index,date,open,high,low,close,adj_close,volume,stock
MSFT030100,2000-01-03,58.6875,59.3125,56.0,58.28125,37.199776,53228400,MSFT
MSFT040100,2000-01-04,56.78125,58.5625,56.125,56.3125,35.943153,54119000,MSFT
MSFT050100,2000-01-05,55.5625,58.1875,54.6875,56.90625,36.322121,64059600,MSFT
MSFT060100,2000-01-06,56.09375,56.9375,54.1875,55.0,35.105415,54976600,MSFT
MSFT070100,2000-01-07,54.3125,56.125,53.65625,55.71875,35.564171,62013600,MSFT
MSFT100100,2000-01-10,56.71875,56.84375,55.6875,56.125,35.823463000000004,44963600,MSFT
MSFT110100,2000-01-11,55.75,57.125,54.34375,54.6875,34.905945,46743600,MSFT
MSFT120100,2000-01-12,54.25,54.4375,52.21875,52.90625,33.769020000000005,66532400,MSFT
MSFT130100,2000-01-13,52.1875,54.3125,50.75,53.90625,34.407299,83144000,MSFT
MSFT140100,2000-01-14,53.59375,56.96875,52.875,56.125,35.823463000000004,73416400,MSFT
MSFT180100,2000-01-18,55.90625,58.25,55.875,57.65625,36.800846,81483600,MSFT
MSFT190100,2000-01-19,55.25,55.75,53.0,53.5,34.14798,97568200,MSFT
MSFT200100,2000-01-20,53.53125,54.84375,52.9375,53.0,33.828854,56349800,MSFT
MSFT210100,2000-01-21,53.5,53.625,51.625,51.875,33.110794,68416200,MSFT
MSFT240100,2000-01-24,51.898438,52.84375,50.40625,50.625,32.312943,63597600,MSFT
MSFT250100,2000-01-25,50.5,51.9375,49.78125,51.40625,32.8116,59823200,MSFT
MSFT260100,2000-01-26,51.21875,51.75,49.5625,49.6875,31.714558,49365000,MSFT
MSFT270100,2000-01-27,49.945313,50.59375,48.625,49.375,31.515090999999998,63654800,MSFT
MSFT280100,2000-01-28,49.0625,50.125,48.625,49.125,31.355532,58225400,MSFT
MSFT310100,2000-01-31,48.8125,49.09375,47.4375,48.9375,31.235828,73194200,MSFT
MSFT010200,2000-02-01,49.25,51.625,48.84375,51.46875,32.851490000000005,70196600,MSFT
MSFT020200,2000-02-02,51.21875,51.96875,50.25,50.40625,32.173313,49915600,MSFT
MSFT030200,2000-02-03,51.03125,52.09375,50.0625,51.8125,33.070896000000005,49186000,MSFT
MSFT040200,2000-02-04,52.1875,54.0,52.070313,53.28125,34.008358,55365400,MSFT
